student_major,event_type,department,organizer_type,expected_attendance,interest_match_score,skill_match_score,target_major_count,target_interest_count,success
Engineering,workshop,Student Affairs,student_affairs,140,0.3,0.76,4,0,1
Computer Science,workshop,Engineering,club_event,134,0.55,0.12,1,5,1
Law,career,Sciences,student_affairs,18,0.78,0.24,3,2,0
Arts,volunteer,Engineering,club_student,209,0.19,0.86,4,2,1
Architecture,seminar,Sciences,club_student,165,0.85,0.66,2,4,1
Engineering,workshop,Student Affairs,club_event,163,0.99,0.87,0,3,1
Education,social,Arts,student_affairs,122,0.7,0.73,0,4,1
Arts,social,Sciences,dean_of_faculty,153,0.99,0.68,4,1,1
Computer Science,career,Computer Science,club_student,176,0.46,0.16,4,5,1
Architecture,hackathon,Student Affairs,dean_of_faculty,88,0.34,0.32,4,4,0
Law,hackathon,Arts,club_event,85,0.56,0.18,0,0,0
Business,hackathon,Medicine,club_student,212,0.44,1.0,4,2,1
Computer Science,seminar,Student Affairs,student_affairs,189,0.2,0.49,3,0,1
Medicine,social,Medicine,club_student,167,0.86,0.56,1,1,1
Business,workshop,Medicine,student_affairs,265,0.12,0.94,2,1,0
Engineering,seminar,Student Affairs,dean_of_faculty,50,0.98,0.58,1,1,1
Business,sports,Medicine,dean_of_faculty,123,0.94,0.78,1,5,1
Education,cultural,Medicine,dean_of_faculty,76,0.32,0.16,0,4,0
Arts,workshop,Engineering,club_student,132,0.16,0.13,2,0,0
Medicine,cultural,Business,club_event,257,0.32,0.53,3,1,1
Law,volunteer,Sciences,dean_of_faculty,254,0.88,0.15,0,0,1
Education,seminar,Business,club_event,112,0.58,0.23,1,2,1
Engineering,cultural,Computer Science,club_student,40,0.69,0.59,0,0,1
Arts,social,Sciences,dean_of_faculty,261,0.29,0.46,0,1,1
Law,sports,Computer Science,dean_of_faculty,161,0.48,0.96,4,5,1
Business,career,Arts,club_event,44,0.62,0.59,2,0,0
Architecture,social,Engineering,club_student,110,0.16,0.16,1,3,0
Arts,workshop,Medicine,club_student,229,0.69,0.61,2,2,1
Education,career,Arts,dean_of_faculty,82,0.7,0.37,2,0,0
Engineering,seminar,Medicine,club_event,274,0.34,0.94,0,1,1
Business,cultural,Computer Science,student_affairs,19,0.7,0.6,0,1,1
Engineering,social,Arts,student_affairs,122,0.75,0.28,2,4,1
Computer Science,seminar,Student Affairs,dean_of_faculty,156,0.14,0.4,1,5,1
Business,cultural,Medicine,dean_of_faculty,19,0.2,0.95,1,4,1
Education,social,Sciences,club_event,36,0.38,0.91,0,2,1
Arts,seminar,Arts,dean_of_faculty,94,0.93,0.31,1,1,1
Computer Science,social,Student Affairs,student_affairs,225,0.82,0.88,1,2,1
Engineering,hackathon,Computer Science,club_student,255,0.3,0.83,3,2,1
Arts,career,Engineering,club_event,219,0.4,0.88,2,2,1
Law,volunteer,Engineering,club_student,148,0.26,0.97,2,0,1
Law,volunteer,Student Affairs,student_affairs,238,0.65,0.56,3,4,1
Computer Science,hackathon,Engineering,club_event,201,0.49,0.95,2,4,1
Engineering,sports,Medicine,student_affairs,224,0.39,0.73,4,1,1
Law,social,Medicine,student_affairs,222,0.59,0.1,2,1,1
Education,cultural,Sciences,dean_of_faculty,124,0.56,0.81,1,5,1
Education,seminar,Computer Science,club_event,173,0.3,0.28,0,0,0
Architecture,seminar,Sciences,dean_of_faculty,114,0.75,0.45,3,1,1
Computer Science,seminar,Computer Science,dean_of_faculty,127,0.26,0.96,4,3,0
Arts,seminar,Sciences,club_event,252,0.7,0.99,4,2,1
Architecture,hackathon,Computer Science,dean_of_faculty,96,0.77,0.53,2,1,1
Medicine,cultural,Student Affairs,club_event,155,0.5,0.74,1,2,1
Engineering,social,Business,club_event,211,0.72,0.74,0,3,1
Architecture,hackathon,Engineering,club_event,230,0.45,0.79,0,4,1
Computer Science,volunteer,Arts,dean_of_faculty,229,0.58,0.76,4,1,1
Medicine,hackathon,Sciences,club_student,214,0.4,0.71,3,5,1
Architecture,social,Medicine,club_student,216,0.63,0.7,0,5,1
Architecture,social,Engineering,student_affairs,209,0.39,0.51,2,3,1
Law,sports,Computer Science,club_student,255,0.12,0.59,2,1,1
Computer Science,workshop,Business,club_event,25,0.66,0.31,3,5,1
Arts,cultural,Student Affairs,student_affairs,203,0.25,0.65,0,1,1
Engineering,workshop,Arts,dean_of_faculty,218,0.95,0.28,4,5,1
Arts,seminar,Student Affairs,student_affairs,76,0.82,0.61,0,2,1
Education,seminar,Medicine,student_affairs,21,0.86,0.84,0,3,1
Architecture,social,Sciences,club_event,153,0.65,0.93,3,3,1
Medicine,volunteer,Computer Science,club_event,59,0.35,0.51,3,4,1
Law,volunteer,Engineering,dean_of_faculty,181,0.26,0.29,2,2,1
Medicine,workshop,Medicine,club_event,58,0.32,0.47,4,1,0
Architecture,cultural,Computer Science,club_student,62,0.36,0.46,1,2,1
Education,cultural,Medicine,student_affairs,232,1.0,0.6,2,5,1
Medicine,sports,Business,club_student,113,0.38,0.77,1,1,1
Architecture,sports,Student Affairs,student_affairs,66,0.85,0.37,2,1,1
